raceId,driverId,constructorId,number,position,grid,positionText,points,laps,status,millis,time,Fastestlap,Fastlaptime,Fastlaspeed,rank
Australian Grand Prix,hamilton,mercedes,10,5,3,5,10,58,Finished,5448786,+45.561,45,1:29.759,212.689,5
Australian Grand Prix,webber,red_bull,2,6,2,6,8,58,Finished,5450025,+46.800,45,1:29.732,212.753,4
Australian Grand Prix,sutil,force_india,15,7,12,7,6,58,Finished,5468293,+1:05.068,49,1:30.710,210.459,13
Australian Grand Prix,resta,force_india,14,8,9,8,4,58,Finished,5471674,+1:08.449,56,1:30.894,210.033,15
Australian Grand Prix,button,mclaren,5,9,10,9,2,58,Finished,5484855,+1:21.630,41,1:30.198,211.654,7
Australian Grand Prix,grosjean,lotus_f1,8,10,8,10,1,58,Finished,5485984,+1:22.759,41,1:30.395,211.193,9
Australian Grand Prix,perez,mclaren,6,11,15,11,0,58,Finished,5486592,+1:23.367,46,1:29.926,212.294,6
Australian Grand Prix,vergne,toro_rosso,18,12,13,12,0,58,Finished,5487082,+1:23.857,50,1:29.498,213.309,2
Australian Grand Prix,gutierrez,sauber,12,13,18,13,0,57,+1 Lap,,,32,1:31.415,208.836,16
Australian Grand Prix,bottas,williams,17,14,16,14,0,57,+1 Lap,,,42,1:30.652,210.594,12
Australian Grand Prix,jules_bianchi,marussia,22,15,19,15,0,57,+1 Lap,,,52,1:30.454,211.055,11
Australian Grand Prix,pic,caterham,20,16,22,16,0,56,+2 Laps,,,55,1:32.261,206.921,19
Australian Grand Prix,chilton,marussia,23,17,20,17,0,56,+2 Laps,,,49,1:32.210,207.036,17
Australian Grand Prix,garde,caterham,21,18,21,18,0,56,+2 Laps,,,39,1:32.636,206.084,20
Australian Grand Prix,ricciardo,toro_rosso,19,19,14,R,0,39,Hydraulics,,,33,1:30.881,210.063,14
Australian Grand Prix,rosberg,mercedes,9,20,6,R,0,26,Electrical,,,18,1:32.259,206.926,18
Australian Grand Prix,maldonado,williams,16,21,17,R,0,24,Spun off,,,12,1:32.915,205.465,21
Australian Grand Prix,hulkenberg,sauber,11,22,11,W,0,0,Fuel system,,,,,,
Malaysian Grand Prix,vettel,red_bull,1,1,1,1,25,56,Finished,5936681,1:38:56.681,45,1:40.446,198.661,3
Malaysian Grand Prix,webber,red_bull,2,2,5,2,18,56,Finished,5940979,+4.298,45,1:40.685,198.190,6
Malaysian Grand Prix,hamilton,mercedes,10,3,4,3,15,56,Finished,5948862,+12.181,32,1:41.001,197.570,10
Malaysian Grand Prix,rosberg,mercedes,9,4,6,4,12,56,Finished,5949321,+12.640,44,1:40.755,198.052,8
Malaysian Grand Prix,massa,ferrari,4,5,2,5,10,56,Finished,5962329,+25.648,50,1:39.805,199.937,2
Malaysian Grand Prix,grosjean,lotus_f1,8,6,11,6,8,56,Finished,5972245,+35.564,37,1:41.226,197.131,11
Malaysian Grand Prix,raikkonen,lotus_f1,7,7,10,7,6,56,Finished,5985160,+48.479,37,1:41.769,196.079,13
Malaysian Grand Prix,hulkenberg,sauber,11,8,12,8,4,56,Finished,5989725,+53.044,46,1:40.727,198.107,7
Australian Grand Prix,rosberg,mercedes,6,1,3,1,25,57,Finished,5578710,1:32:58.710,19,1:32.478,206.436,1
Australian Grand Prix,kevin_magnussen,mclaren,20,2,4,2,18,57,Finished,5605487,+26.777,49,1:33.066,205.131,6
Australian Grand Prix,button,mclaren,22,3,10,3,15,57,Finished,5608737,+30.027,39,1:32.917,205.460,5
Australian Grand Prix,alonso,ferrari,14,4,5,4,12,57,Finished,5613994,+35.284,57,1:33.186,204.867,7
Australian Grand Prix,bottas,williams,77,5,15,5,10,57,Finished,5626349,+47.639,56,1:32.616,206.128,3
Australian Grand Prix,hulkenberg,force_india,27,6,7,6,8,57,Finished,5629428,+50.718,56,1:32.568,206.235,2
Australian Grand Prix,raikkonen,ferrari,7,7,11,7,6,57,Finished,5636385,+57.675,56,1:33.210,204.814,8
Australian Grand Prix,vergne,toro_rosso,25,8,6,8,4,57,Finished,5639151,+1:00.441,56,1:33.691,203.763,10
Australian Grand Prix,kvyat,toro_rosso,26,9,8,9,2,57,Finished,5642295,+1:03.585,35,1:33.864,203.387,11
Australian Grand Prix,perez,force_india,11,10,16,10,1,57,Finished,5664626,+1:25.916,38,1:32.634,206.088,4
Australian Grand Prix,sutil,sauber,99,11,13,11,0,56,+1 Lap,,,34,1:33.366,204.472,9
